LLM,bnlearn_cancer,bnlearn_earthquake,bnlearn_survey,bnlearn_asia,lucas,bnlearn_child,bnlearn_insurance,bnlearn_alarm,bnlearn_hailfinder,bnlearn_hepar2,bnlearn_win95pts,Average
openai--gpt-5.2,0.8798,1.0000,0.7555,1.0000,0.9455,1.0000,0.9446,0.9366,0.9535,1.0000,0.9692,0.9441
anthropic--claude-opus-4.6,0.8222,1.0000,0.8694,0.8927,0.8289,0.7855,0.8289,0.7618,0.8451,0.8857,0.8687,0.8535
google--gemini-3-pro-preview,0.9683,0.7963,0.6890,0.9646,0.6801,0.8520,0.8084,0.7708,0.6465,0.8796,0.8203,0.8069
meta-llama--llama-3.3-70b-instruct,1.0000,1.0000,0.7813,0.9600,0.9000,0.9053,0.6414,0.9063,0.8763,0.8912,0.9217,0.8894
qwen--qwen3.5-397b-a17b,0.6048,1.0000,0.6667,1.0000,0.8393,0.8527,0.9630,0.9000,0.7717,0.8141,0.8452,0.8416
z-ai--glm-5,1.0000,1.0000,0.9333,1.0000,0.8351,0.8375,0.7910,0.6946,0.8220,0.8524,0.8428,0.8735
minimax--minimax-m2.5,0.9683,1.0000,0.8151,0.9485,0.7556,1.0000,0.9417,0.9539,0.8362,0.9259,0.8800,0.9114
Average,0.8919,0.9709,0.7872,0.9665,0.8263,0.8904,0.8456,0.8463,0.8216,0.8927,0.8783,0.8743
